"","x"
"1",580
"2",172
"3",295
"4",414
"5",905
"6",0
"7",70
"8",0
"9",681
"10",885
"11",1036
"12",844
"13",823
"14",843
"15",1140
"16",463
"17",1142
"18",136
"19",0
"20",0
"21",5
"22",81
"23",265
"24",1999
"25",415
"26",732
"27",1361
"28",984
"29",121
"30",846
"31",1054
"32",474
"33",380
"34",182
"35",594
"36",194
"37",926
"38",0
"39",606
"40",1107
"41",320
"42",426
"43",204
"44",410
"45",633
"46",0
"47",907
"48",1192
"49",0
"50",503
"51",0
"52",302
"53",583
"54",425
"55",413
"56",1405
"57",962
"58",0
"59",347
"60",611
"61",712
"62",382
"63",710
"64",578
"65",1243
"66",790
"67",1264
"68",216
"69",345
"70",1208
"71",992
"72",0
"73",840
"74",1003
"75",588
"76",1000
"77",767
"78",0
"79",717
"80",0
"81",661
"82",849
"83",1352
"84",382
"85",0
"86",905
"87",371
"88",0
"89",1129
"90",806
"91",1393
"92",721
"93",0
"94",0
"95",734
"96",560
"97",480
"98",138
"99",0
"100",966
